Network Tariff,Daily supply charge,Peak,Peak 2,Off Peak,Shoulder,CL1,CL2,Capacity Charges,Demand 1,Demand 2
EVCCT3,0,,,,,19.1345,,,,
EVCT2,0,,,,,19.1345,,,,
EVCT3,0,,,,,19.1345,,,,
EVCXT1,0,,,,,19.1345,,,,
EVCXT2,0,,,,,19.1345,,,,
EVCXT3,0,,,,,19.1345,,,,
EVNT1,0,,,,,18.1181,,,,
EVNBT1,0,,,,,18.1181,,,,
EVNBT2,0,,,,,18.1181,,,,
EVNBT3,0,,,,,18.1181,,,,
EVNCT1,0,,,,,18.1181,,,,
EVNCT2,0,,,,,18.1181,,,,
EVNCT3,0,,,,,18.1181,,,,
EVNT2,0,,,,,18.1181,,,,
EVNT3,0,,,,,18.1181,,,,
EVNXT1,0,,,,,18.1181,,,,
EVNXT2,0,,,,,18.1181,,,,
EVNXT3,0,,,,,18.1181,,,,
RTC12B,148.8344,45.7116,45.7116,22.6798,28.0346,,,,,
ERTOUET1,148.8344,45.7116,45.7116,22.3798,28.0346,,,,,
ERTOUET2,148.8344,45.7116,45.7116,22.3798,28.0346,,,,,
ERTOUET3,148.8344,45.7116,45.7116,22.3798,28.0346,,,,,
MRTOUET4,148.8344,45.7116,45.7116,22.3798,28.0346,,,,,
RTC22B,185.4259,48.9456,48.9456,28.6935,41.9408,,,,,
EBTOUET1,185.4259,48.9456,48.9456,28.6935,41.9408,,,,,
EBTOUET2,185.4259,48.9456,48.9456,28.6935,41.9408,,,,,
EBTOUET3,185.4259,48.9456,48.9456,28.6935,41.9408,,,,,
MBTOUET4,185.4259,48.9456,48.9456,28.6935,41.9408,,,,,
EBTOUECT3,185.4259,48.9456,48.9456,28.6935,41.9408,,,,,
OPCL,,23.397,23.397,,,,,,,
RTOU,116.05,59.653,59.653,35.233,29.425,,,,,
QB2R,125.312,62.282,62.282,40.293,40.293,,,,,
MB2R,125.312,62.282,62.282,40.293,40.293,,,,,
B2R,125.312,62.282,62.282,40.293,40.293,,,,,
B2R124,125.312,62.282,62.282,40.293,40.293,,,,,
SBDT,125.312,62.282,62.282,40.293,40.293,,,,,
QBSR,125.367,50.831,50.831,,,,,,,
BSR,125.367,50.831,50.831,,,,,,,
MBSR,125.367,50.831,50.831,,,,,,,
SBD,125.367,50.831,50.831,,,,,,,
SBDMC,125.367,50.831,50.831,,,,,,,
SBTOU,142.231,63.041,63.041,42.647,54.626,,,,,
SBTOUMC,142.231,63.041,63.041,42.647,54.626,,,,,
SBTOUD,142.231,63.041,63.041,42.647,54.626,,,,,
BD,142.231,63.041,63.041,42.647,54.626,,,,,
A100,123.01,29.72,29.72,,,,,,,
F10I,123.01,29.72,29.72,,,,,,,
A120,123.01,37.609,37.609,23.68,23.68,,,,,
F120,123.01,37.609,37.609,23.68,23.68,,,,,
A140,135.993,36.916,36.916,19.426,19.426,,,,,
C1R,124.069,27.324,27.324,,,,,,,
C1RCDS,124.069,27.324,27.324,,,20.119,,,,
C1RB,124.069,27.324,27.324,,,,,,,
C2R,136.235,30.8,30.8,21.197,21.197,,,,,
C2RB,136.235,30.8,30.8,21.197,21.197,,,,,
C3R,136.235,30.8,30.8,21.197,21.197,,,,,
C3RB,136.235,30.8,30.8,21.197,21.197,,,,,
CDS,,20.119,20.119,,,,,,,
CRTOU,124.069,36.33,36.33,22.055,22.055,,,,,
D1,136.84,30.085,30.085,,,,,,,
D1DD1,136.84,30.085,30.085,,,21.219,,,,
D2,154.715,35.222,35.222,21.076,21.076,,,,,
D3,154.715,35.222,35.222,21.076,21.076,,,,,
DD1,,21.219,21.219,,,,,,,
LVDED,,21.065,21.065,,,,,,,
DED,,21.065,21.065,,,,,,,
LVS1R,116.479,28.84,28.84,,,,,,,
LVS2R,119.438,37.895,37.895,18.436,18.436,,,,,
TOD,119.438,37.895,37.895,18.436,18.436,,,,,
NAST11,141.46,46.816,46.816,23.99,23.99,,,,,
NAST11S,141.46,46.816,46.816,23.99,23.99,,,,,
NAST11P,141.46,46.816,46.816,23.99,23.99,,,,,
NAST13,141.46,46.816,46.816,23.99,23.99,,,,,
NAST14,141.46,46.816,46.816,23.99,23.99,,,,,
NAST15,141.46,46.816,46.816,23.99,23.99,,,,,
SUN23,141.46,46.816,46.816,23.99,23.99,,,,,
NEE20,147.18,45.716,45.716,21.824,21.824,,,,,
NEE24,147.18,45.716,45.716,21.824,21.824,,,,,
PRTOU,136.84,40.4,40.4,23.65,23.65,,,,,
PRTOUDD1,136.84,40.4,40.4,23.65,23.65,21.219,,,,
"URTOU, FURTOU",116.479,38.368,38.368,22.99,22.99,,,,,
A180,,23.14,23.14,,,,,,,
A200,158.34,31.409,31.409,,,,,,,
A210,167.22,35.79,35.79,20.28,20.28,,,,,
F210,167.22,35.79,35.79,20.28,20.28,,,,,
T210,167.22,35.79,35.79,20.28,20.28,,,,,
A300,169.873,36.96,36.96,17.93,17.93,,,,,
A210TOU5,169.873,36.96,36.96,17.93,17.93,,,,,
A300TOU5,169.873,36.96,36.96,17.93,17.93,,,,,
C1G,144.69,26.565,26.565,,,,,,,
C1GB,144.69,26.565,26.565,,,,,,,
C2G5,153.813,34.98,34.98,16.17,16.17,,,,,
C2G5B,153.813,34.98,34.98,16.17,16.17,,,,,
C3G,153.813,34.98,34.98,16.17,16.17,,,,,
C3GB,153.813,34.98,34.98,16.17,16.17,,,,,
CGTOU,144.69,33.05,33.05,19.47,19.47,,,,,
CMGO21,144.69,33.05,33.05,19.47,19.47,,,,,
OP,,21.219,21.219,,,,,,,
NEE21,139.216,41.393,41.393,19.734,19.734,,,,,
NEE51,139.216,41.393,41.393,19.734,19.734,,,,,
NDTOU,159.049,38.95,38.95,21.109,21.109,,,,,
NDMO21,159.049,38.95,38.95,21.109,21.109,,,,,
LLVT1,159.049,38.95,38.95,21.109,21.109,,,,,
LLVT2,159.049,38.95,38.95,21.109,21.109,,,,,
ND5,159.049,38.95,38.95,21.109,21.109,,,,,
ND1,159.049,29.27,29.27,,,,,,,
ND1DD1,159.049,29.27,29.27,,,21.219,,,,
ND2,164.395,39.908,39.908,18.744,18.744,,,,,
LVM1R,137.11,27.885,27.885,,,,,,,
LVM2R5D,140.316,36.63,36.63,17.457,17.457,,,,,
LVKWTOU,140.316,36.63,36.63,17.457,17.457,,,,,
LVKVATOU,140.316,36.63,36.63,17.457,17.457,,,,,
LVKVATOU1,137.11,35.01,35.01,20.27,20.27,,,,,
LVKVATOU2,137.11,35.01,35.01,20.27,20.27,,,,,
FLVTOU,137.11,35.01,35.01,20.27,20.27,,,,,
LVTOU,137.11,35.01,35.01,20.27,20.27,,,,,
LVM2R7D,137.11,35.01,35.01,20.27,20.27,,,,,
NAST12,141.46,40.31,40.31,21.978,21.978,,,,,
NAST12P,141.46,40.31,40.31,21.978,21.978,,,,,
NAST12S,141.46,40.31,40.31,21.978,21.978,,,,,
NSP21,141.46,40.31,40.31,21.978,21.978,,,,,
NSP27,141.46,40.31,40.31,21.978,21.978,,,,,
NSP56,141.46,40.31,40.31,21.978,21.978,,,,,
NEE16,141.46,40.31,40.31,21.978,21.978,,,,,
NEE60,141.46,40.31,40.31,21.978,21.978,,,,,
A10D,117.546,23.001,23.001,,,,,,22.407,
CR,128.876,20.933,20.933,,,,,,32.615,11.077
DD,137.236,23.001,23.001,,,,,,39.798,12.903
NEE11,141.46,34.77,34.77,,,,,,,
NEE13,141.46,34.77,34.77,,,0.2399,,,,
NEE14,141.46,34.77,34.77,,,0.2399,,,,
NEE15,141.46,34.77,34.77,,,,,,,
RESKW1R,94.182,23.067,23.067,,,,,,40.348,16.533
A20D,139.117,25.047,25.047,,,,,,18.865,18.865
A230,311.817,36.113,36.113,23.694,23.694,,,,24.772,
CG,145.343,20.361,20.361,,,,,,56.65,20.471
CMG,473.044,33.737,33.737,21.956,21.956,,,,33.319,9.537
CMGB,473.044,33.737,33.737,21.956,21.956,,,,33.319,9.537
LVMKW1R,165.451,45.661,45.661,,,,,,42.372,27.962
NASN21,179.707,50.688,50.688,27.313,27.313,,,,18.249,4.598
NASN2S,179.707,50.688,50.688,27.313,27.313,,,,18.249,4.598
NDD,159.06,22.671,22.671,,,,,,70.697,26.378
NDM,528.913,38.698,38.698,24.145,24.145,,,,43.835,21.45
NEE12,141.46,38.808,38.808,,,,,,,
NEE40,141.46,38.808,38.808,,,,,,,
NASN19,141.46,38.808,38.808,,,,,,,
NASN12,141.46,38.808,38.808,,,,,,,
NEE17,141.46,38.808,38.808,,,23.99,,,,
NEE18,141.46,38.808,38.808,,,23.99,,,,
